iterations,loss_c,loss_e,total_loss,error_c,error_u,error_v,error_p
1000,0.005355666391551495,0.0001224067818839103,0.005478073377162218,0.01897477,0.9083929,0.9695547,1.5112593
2000,0.003668782999739051,0.0004620306717697531,0.004130813758820295,0.0089397365,0.11539922,1.0286981,1.4830396
3000,0.002844881033524871,0.00044409334077499807,0.0032889742869883776,0.025330245,0.034171715,0.97984755,1.5618703
4000,0.0014741930644959211,0.00042965367902070284,0.001903846743516624,0.009657135,0.027408084,1.0682077,1.5845845
5000,0.0007006266387179494,0.0004757401766255498,0.0011763668153434992,0.0015224011,0.0072184172,1.0568821,1.5957708
6000,0.0006571409176103771,0.00041171390330418944,0.0010688548209145665,0.016121052,0.009884925,0.9802155,1.545129
7000,0.00023860635701566935,0.0002733890723902732,0.0005119954003021121,0.00041418587,0.03944676,0.9343501,1.4127773
8000,0.00019120980869047344,0.000132892353576608,0.00032410217681899667,0.0033843892,0.031022236,0.4707056,1.5072268
9000,0.00016169373702723533,0.00011228468792978674,0.00027397842495702207,0.0066280086,0.040357895,0.31739774,1.6214169
10000,0.00011226118658669293,9.669574501458555e-05,0.00020895693160127848,0.0017816776,0.025833912,0.23842444,1.7942902
11000,9.437776316190138e-05,7.96800886746496e-05,0.00017405784456059337,0.0005334668,0.011301021,2.5949864,1.5492707
12000,0.00010020017361966893,8.208531653508544e-05,0.00018228549743071198,0.0061198985,0.037044656,0.34298053,1.5034174
13000,6.810911872889847e-05,7.25451682228595e-05,0.00014065428695175797,0.00576857,0.05059284,0.40642604,1.4152315
14000,8.456537034362555e-05,5.8500259910942987e-05,0.00014306562661658973,0.0061551067,0.028441641,0.31611124,1.6782024
15000,5.3880285122431815e-05,6.223965465324e-05,0.00011611993977567181,0.0018922176,0.01779816,0.84098804,1.4512413
16000,4.845041985390708e-05,7.293974340427667e-05,0.00012139016325818375,0.0012261197,0.0034186223,1.0773128,1.5218977
17000,5.247117223916575e-05,5.996313120704144e-05,0.0001124343034462072,0.004537209,0.013050928,0.114145696,1.7689044
18000,4.586866998579353e-05,3.975563231506385e-05,8.562429866287857e-05,0.0009141735,0.009781144,0.118256435,1.8777646
19000,5.649778540828265e-05,5.434515333035961e-05,0.00011084294237662107,0.005119086,0.004083135,0.034751672,1.691945
20000,2.6819228878594004e-05,4.165529753663577e-05,6.847452459624037e-05,0.0013368991,0.0055785263,0.12541083,1.8746777
21000,2.6109009922947735e-05,2.9544889912358485e-05,5.565390165429562e-05,0.0008441907,0.0012016374,0.57106525,1.6678888
22000,2.2222791812964715e-05,2.6438548957230523e-05,4.866134258918464e-05,0.0007897343,0.026682843,0.15632614,1.6310217
23000,4.088524292455986e-05,5.434384002001025e-05,9.522908658254892e-05,0.003505534,0.0081290705,0.21204872,1.8055791
24000,2.2411630197893828e-05,2.0326097001088783e-05,4.273772719898261e-05,0.000660859,0.011477151,0.064787164,2.0099072
25000,2.5045530492207035e-05,2.630669405334629e-05,5.1352224545553327e-05,0.0035918655,0.01029123,0.13481541,1.9122049
26000,2.1805110009154305e-05,5.968278128420934e-05,8.148788765538484e-05,0.0020968907,0.0014957999,0.08215101,2.0469215
27000,1.8660022760741413e-05,2.5210072635672987e-05,4.38700953964144e-05,0.00086558575,0.042291656,0.82409,1.68859
28000,1.5342500773840584e-05,2.2726984752807766e-05,3.8069483707658947e-05,0.0017108609,0.009090385,0.25354296,1.9241832
29000,2.9207336410763673e-05,2.53438665822614e-05,5.455120117403567e-05,0.0032254686,0.009552487,0.06756758,2.2327428
30000,1.584424353495706e-05,1.5976434951880947e-05,3.182068030582741e-05,0.0010593312,0.0021328798,0.8719952,1.8205445
31000,1.6000933101167902e-05,1.6623980627628043e-05,3.2624913728795946e-05,0.0017300249,0.0010742958,0.22652143,1.7821846
32000,1.5081420315254945e-05,2.3153577785706148e-05,3.823499719146639e-05,0.0009333242,0.0008702616,0.35999793,1.8311002
33000,1.3576404853665736e-05,3.569861291907728e-05,4.9275018682237715e-05,9.1828864e-05,0.005765224,0.046162747,2.3187113
34000,1.1970259038207587e-05,1.2220646567584481e-05,2.4190905605792068e-05,0.00065888383,0.030317409,0.029228412,2.1899955
35000,1.1579760212043766e-05,2.909879185608588e-05,4.0678551158634946e-05,0.0010120058,0.0009671131,0.59101576,1.796429
36000,1.4932672456779983e-05,1.780423554009758e-05,3.2736908906372264e-05,0.0011824159,0.0032317927,0.04404261,2.1836379
37000,1.5738067304482684e-05,1.4021221431903541e-05,2.9759288736386225e-05,0.0034106567,0.007020198,0.0387507,2.3492165
38000,8.513915418006945e-06,2.272136953251902e-05,3.123528586002067e-05,6.3716594e-05,0.0031745755,0.5215326,1.8845159
39000,1.846463419497013e-05,3.955581269110553e-05,5.802044688607566e-05,0.00081034144,0.009765237,0.081759274,2.1696527
40000,1.2802018318325281e-05,1.3309285350260325e-05,2.6111303668585606e-05,0.00035870128,0.0060123033,0.104236715,2.1896043
41000,1.2005583812424447e-05,2.6088284357683733e-05,3.809386907960288e-05,0.0017727955,0.0021598698,0.04293097,2.1647205
42000,1.121408240578603e-05,2.2756737962481566e-05,3.3970820368267596e-05,0.0017897838,0.0058999136,0.07564739,2.1959658
43000,9.056195267476141e-06,8.965638699010015e-06,1.8021833966486156e-05,0.000107223146,0.008083281,0.11787531,1.9972913
44000,8.270718353742268e-06,6.338425009744242e-06,1.460914336348651e-05,0.00014177753,0.00025955445,0.035654742,2.2178721
45000,8.386907211388461e-06,7.820373866707087e-06,1.6207281078095548e-05,0.0012858041,0.009279483,0.0845201,2.1341574
46000,1.2191197129141074e-05,3.1689476600149646e-05,4.388067463878542e-05,0.0014282833,0.08700515,0.1284969,1.9288174
